Query,Arquivo,Linha,Texto,Score
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,53,"Para demonstrar como essa dinâmica opera, sugerimos a investigação do caso Twitter/X  como  norte  para  análise  desses  discursos  e  de  seus  impactos  políticos posteriores. Discutiremos, a partir de uma revisão bibliográfica, como o desenvolvimento do digital orientou-se por uma ética liberal contraditória que, por um lado,  naturalizou  o  uso  das  plataformas  como  um  espaço  de  participação  e  livre expressão, ao mesmo tempo que, por outro, a propriedade comercial das plataformas digitais se torna uma problemática. A aquisição do Twitter por Elon Musk -exemplo de como a questão da propriedade é atual -afetou significativamente as interações e a qualidade das informações veiculadas, impacto da mudança das políticas de regulação de conteúdo.",0.3104739189147949
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,55,"No  plano  metodológico,  um  levantamento  bibliométrico,  por  meio  da utilização de APIs de sites de catalogação de trabalhos científicos, foi realizado para identificar  como  o  debate  sobre  o  Twitter/X  se  apresenta  na  literatura  acadêmica, procurando  responder  a  questão  a  respeito  de  sua  relevância  enquanto  objeto  de estudo das formas de participação política.",0.22104968130588531
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,57,①,0.0603562667965889
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,59,"Assim,  este  trabalho  orienta-se  por  esta  área  multifacetada  da  Sociologia Digital, na qual diversos campos de pesquisa são envolvidos, movidos pela necessidade de fazer um esforço interdisciplinar na busca de fontes históricas e teóricas, assim como na metodologia (Miskolci, 2017, p. 14).",0.23562273383140564
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,61,"O objetivo da pesquisa, portanto, é identificar os impactos da construção dos algoritmos das redes como um espaço público e do engajamento de informações do Twitter/X  nas  decisões  e  acontecimentos  políticos  atuais,  demonstrando  como  este debate está presente na política e na academia.",0.3691991865634918
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,63,"Dessa maneira, a fim de facilitar a compreensão da dinâmica do diálogo entre algoritmos privados e a noção de espaço público , o artigo foi estruturado da seguinte forma: 1. O espaço público e as impressões sobre o impacto da internet na participação política; 2. Entre a ética hacker e o ultraliberalismo; 3. O caso do Twitter/X: moderação, desinformação e impacto na democracia; e 4. Dados sobre o Twitter e análises bibliométricas.",0.46474993228912354
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,65,## 1 O espaço público e o impacto da internet para a participação política,0.28056132793426514
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,67,"A ' r evolução tecnológica concentrada nas tecnologias da informação', como aponta  Castells  (1999,  p.  23),  além  de  impor  sua  onipresença  em  nosso  cotidiano, encaminha-se na direção da criação de um espaço virtual de informação que pluraliza as  formas  de  comunicação  discursiva.  Neste  sentido,  a  popularização  da  internet  a partir  da  década  de  1990,  suscitada  pela  tendência  de diminuição das  exigências de competências técnicas para seu uso, promoveu uma rápida expansão da web como um bem comum, não mais restrito às corporações e às instituições de ensino (Cardon, 2019). Esta expansão é, em um primeiro momento, permeada pela ideia otimista de que essa nova  etapa  do  desenvolvimento  tecnológico  humano  poderia  promover  de  alguma maneira a distribuição democrática do saber e abrir espaço para a realização de uma nova etapa da política democrática (Lévy, 1999).",0.2975838780403137
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,69,"O novo milênio comprova de maneiras opostas as consequências efetivas das dinâmicas virtuais no meio social, seja por meio das 'redes de indignação' que são o fermento  para  a  irrupção  da  Primavera  Árabe  (Castells,  2013),  seja  pela  alegada interferência  da  empresa  Cambridge  Analytica  nos  processos  eleitorais  da  eleição presidencial dos Estados Unidos e no plebiscito pelo Brexit, ambos ocorridos em 2016 (Chun, 2021). Nesse contexto, não é surpreendente que o campo das mídias digitais tenha  se  tornado  o  principal  espaço  de  veiculação  de  discursos  públicos,  onde  o engajamento funciona pela métrica da aprovação ou desaprovação.",0.2538045644760132
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,71,"Deste  modo,  o layout típico  de  todas  as  principais  plataformas  (Facebook, Instagram, TikTok, LinkedIn, Twitter/X) reconfigura o sentido semântico sobre o que é curtir,  responder  e  compartilhar 4 (Van  Djick,  2016,  p.  174).  Do  mesmo  modo, lives , stories ,  curtidas,  engajamentos  e  cancelamentos  tornam-se  parte  do  vocabulário  dos indivíduos ativos em redes sociais. Da linguagem à imagem, observa-se como o virtual influencia  as  relações  sociais  em  diversas  esferas.  No  campo  político  isso  possui implicações de outra grandeza.",0.22923493385314941
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,73,"4   Compartilhar,  no contexto das  mídias  digitais,  funciona  de modo ambíguo:  um  se  relaciona  com  a conexão, a ideia de que os usuários distribuam informação pessoal entre eles (o maior exemplo da força dos laços fracos), que, pela interface, impulsiona o compartilhamento de informação. E o outro se relaciona com a conectividade, que supõe o uso dessa informação para terceiros a partir do app OpenGraph  e  o  botão  'curtir',  por  exemplo.  Estes  terceiros  podem  ser  entendidos  como  os interessados em comprar essas informações.",0.32047969102859497
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,75,3,0.09112006425857544
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,77,①,0.06031160429120064
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,79,"As grandes plataformas digitais, por sua vez, atuam como mediadoras dessa racionalização dos discursos, ou seja, como o lugar onde as pessoas escrevem e postam suas impressões. Assumem, assim, o papel de um espaço privilegiado para o debate 'público', embora esse debate seja pré-estruturado e dominado pelas mídias de massa (Habermas, 2023, p. 29). Nesse sentido, os veículos de informação definem o espaço de debate na modernidade.",0.2988526225090027
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,81,"Historicamente, a construção da esfera pública esteve associada à emergência dos meios de comunicação de massa, assim como à consolidação de espaços de debate que possibilitaram a crítica social e política. De acordo  com Habermas (2003, p. 3), a origem  do  espaço  público  remonta  ao  século  XIX,  período  no  qual  a  burguesia  se organizou a partir da desagregação do social entre dois domínios, isto é, o público e o privado.  Nesse  sentido,  a  esfera  privada,  sob  domínio  patriarcal,  era  um  espaço eminentemente  feminino,  distanciado das discussões  contemporâneas  sobre direitos individuais. Em contraste, a esfera pública se constituiu por intermédio da politização da vida social burguesa, manifestada pela emergência da imprensa de opinião e pela luta contra a censura em defesa da liberdade de expressão. A politização das redes de comunicação pública transforma, dessa maneira, a natureza de sua função, e, por outro lado,  a  expansão  de  tais  redes  é  incessante  desde  então.  Em  vista  disso,  o  filósofo alemão, ao observar o início da participação política tecnológica, sugere que há neste espaço uma horizontalização dos sujeitos, similar à época dos caçadores/coletores, e uma desestruturação das fronteiras sociais (Habermas, 2003, p. 22). Sob este panorama, ele sugere, ao debater sobre as tecnologias de mídia de massa, que o espaço público",0.2822602093219757
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,83,"Tornou-se uma verdadeira arena vassalizada pelo poder, no seio do qual  se  luta  por  temas,  por  contribuições,  não  somente  por influência, mas também para um controle (tão dissimulado quanto possível) dos fluxos de comunicação eficazes. [...] [essa] arena [é] dominada pela mass-media, na qual se chocam tendências contraditórias. O nível de vassalização do poder deve se medir em função do grau segundo o qual as opiniões informais, não-públicas, são  curto-circuitadas  pelo  fluxo  de  opiniões  formais  (Habermas, 2003, p. 11-12).",0.32169416546821594
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,85,"Assim, ao compreendermos as mídias de massa como uma rede comunicacional empresarial que funciona de modo semelhante a uma arena de disputa de narrativas, podemos examinar criticamente a ética que orienta este novo ambiente digital. Pois, como  afirmam  Richard  Barbrook  e  Andy  Cameron  (2003),  este  desenvolvimento tecnológico computacional se sustenta sobre uma ambiguidade ideológica: de um lado, os ideais de liberdade e descentralização do poder, de outro, a adesão aos princípios do laissez-faire e  ao  espírito  empreendedor.  Assim,  esta  ambiguidade  se  traduz  nessa disputa pelo status primordial do digital entre ser a ágora do mundo moderno ou um mercado ( marketplace ).",0.35281503200531006
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,87,"Sob uma perspectiva atual, é preciso considerar também que a estrutura do digital se modifica consideravelmente com o desenvolvimento da web , assim como pela popularização de computadores pessoais e a facilitação do acesso à rede (Cardon, 2019; Lévy, 1999). Essa  transformação  traz  consigo  alguns  elementos  novos  fundamentais para a compreensão do que é o espaço público digital hoje.",0.2894766926765442
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,89,①,0.06031160429120064
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,91,"Desta maneira, essa dinâmica do desenvolvimento do ciberespaço se aprofundou no início do milênio, em uma nova etapa da história da internet na qual sua natureza se  modifica em relação  ao momento anterior. Esta nova configuração da rede ficou conhecida pelo termo web 2.0, que, segundo Tim O'Reilly (2005), é de um conceito sem fronteiras  definidas,  e  sua  caracterização  é  dependente  de  sua  proximidade  de  um centro gravitacional composto por determinados princípios, sendo o primeiro  deles descrito pela seguinte proposição: 'A web como uma plataforma'.",0.32434549927711487
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,93,"Uma das principais  manifestações  da web 2.0,  fundamental  para  evento  da plataformização da rede, é essa ascensão de sites/serviços denominados 'rede sociais' ; estas, de acordo Boyd e Ellison, são definidas 'como serviços web nos quais usuários podem criar um perfil, construir e disponibilizar uma lista de conexões com outros usuários na rede' (Helmond, 2019, p. 53) . Assim, as redes sociais assumem, desde seu surgimento, um papel central no ecossistema da rede.",0.28198543190956116
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,95,"As  características  fundamentais  das  redes  sociais online são:  dinamicidade, flexibilidade e caráter relacional. A dinamicidade refere-se à constante interação entre os usuários, influenciada diretamente pela estrutura tecnológica por meio da qual as informações  circulam.  Já  a  flexibilidade  diz  respeito  à  fluidez  e  à  volatilidade  dos vínculos formados entre os indivíduos nessas redes, destacando-se sua capacidade de expansão ou retração conforme novos usuários chegam ou outros se afastam (Martino, 2015, p. 56). Por último, o caráter relacional remete à interação entre diferentes atores -sejam eles indivíduos, empresas ou organizações -cuja ação contínua no ambiente online influencia  diretamente  padrões  de  comportamento offline ,  reconfigurando-os, segundo argumento central proposto pelo autor.",0.3278962969779968
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,97,"Em consequência disso, a comunicação, antes mediada por veículos tradicionais  como  jornais,  rádios  e  televisões,  passa  agora  a  ser  processada  por algoritmos que filtram, priorizam e distribuem os conteúdos de acordo com métricas de engajamento, popularidade e relevância -parâmetros estes que escapam muitas vezes à compreensão dos próprios usuários (Cardon, 2015, p. 19). Essa transformação implica  uma  dualidade:  por  um  lado,  a  ampliação  do  acesso  à  informação  e  a democratização  do  debate;  por  outro,  a  emergência  de  mecanismos  que  podem restringir a diversidade de opiniões, promovendo a formação de bolhas informacionais e a polarização dos discursos.",0.371268093585968
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,99,"Este aspecto negativo é ressaltado pela socióloga Wendy Chun quando afirma que a lógica de agrupamento promovida por algoritmos de redes sociais realiza um ataque aos princípios democráticos, pois, ao relegar as 'noções de igualdade' em favor de uma agregação baseada 'em semelhanças e interesses especializados' , o princípio da diversidade encontra-se ameaçado (Chun, 2021, p. 89). Assim, a própria economia dos discursos é afetada por essa nova forma de ser do espaço público.",0.3719279170036316
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,101,"Portanto,  considerando  esse  cenário  no  qual  o  controle  disciplinar  sobre  o discurso público está presente também nas plataformas digitais privadas orientadas por  algoritmos,  torna-se  necessário  investigar  quais  são  as  origens  ideológicas  que fundamentam essa transformação. Neste sentido, a chamada ética hacker (Vaz, 2002, p. 87),  surgida  entre  os  programadores  estadunidenses  a  partir  da  década  de  1960, emerge como um ponto fundamental para compreender os princípios que, ainda hoje, guiam a lógica do funcionamento dessas plataformas digitais.",0.4046320617198944
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,103,5,0.0844431072473526
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,105,①,0.06031160429120064
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,107,## 2 Entre a ética hacker e o ultraliberalismo,0.38868391513824463
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,109,"A  sistematização  da  ética hacker ,  ocorrida  na  década  de  1980,  estabelece princípios que apontam para uma forma distinta -e por vezes distorcida -de entender a produção e o compartilhamento da informação. No sentido de compartilhar o poder de processamento dos computadores, as premissas que orientavam os programadores estadunidenses forjam um discurso liberal extremado, como, por exemplo: 'o acesso a computadores e a qualquer coisa que possa ensinar sobre como o mundo funciona deve ser ilimitado e total'; 'toda informação quer ser livre'; 'renda -se ao imperativo do trabalho'; 'faça você mesmo'; 'alimente o barulho do sistema'; 'navegue' 5 (Vaz, 2002, p. 87). Ao discorrer sobre o funcionamento desta ética, Barbrook (2003, p. 148) define a 'netiqueta' como o padrão de comportamentos que expressam uma ideia a respeito da liberdade de informação, segundo os princípios dos primeiros modulares de softwares.",0.4137323796749115
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,111,"A forma instrumental do funcionamento digital das redes sociais, operando por meio dessa ética, estabelece a liberdade de expressão como sinônimo da liberdade de informação. Afinal, a ética hacker fornece a hipótese de que o próprio funcionamento da computação  reitera  a  lógica  de  que  informação  é  qualquer  dado  que  possa  ser digitalizado. Da mesma maneira, Barbrook (2003) também sugere que havia entre os primeiros usuários a ideia de que a liberdade de informação na era digital era 'o direito de fazer barulho [...] de criar seu próprio código e trabalhar [...] o direito de fazer a escolha livre e irrevogável de se interligar ao código dos outros -isto  é,  o  direito  de resolver a vida' (Barbrook, 2003, p. 148).",0.39681127667427063
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,113,"Essa transformação da noção de informação é fundamental para compreender como seu impacto reestruturou a ideia sobre espaço público. Com o advento das Novas Tecnologias de Informação e Comunicação, há uma crise entre o processo autoral, que deve ser devida mente regulado e controlado, como forma de 'proteção ao autor', e a máxima de excluir da autoria o poder sobre a informação digital. Com essas mudanças, a informação ganha novos traços ao ser amplamente divulgada. Ela é ubíqua , pois pode estar em qualquer lugar do mundo, e, ao mesmo tempo, liberta do contexto de geração, opaca a toda referência à origem;  também  é anônima ,  pois  a  comunicação  de  um  a muitos, de forma industrializada, dissolve a categoria de autor; e é dependente ,  pois agora, antes das esferas institucionalizadas de discurso, são os códigos de instrumentos (softwares, interfaces) que condicionam as pragmáticas institucionais, antes soberanas em seu poder disciplinar (Malini, 2003, p. 164).",0.4202328622341156
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,115,"É interessante ressaltar que essa ética pautou o funcionamento das formas de se entender o que é internet desde o início de seu uso comercial. A própria internet, como  a  conhecemos  hoje,  foi  criada  a  partir  de  uma  ideia  técnica  fundamental,  a arquitetura aberta de redes (Martino, 2015, p. 82), ou seja, a escolha de uma tecnologia específica  da  rede  não  seria  ditada  pela  arquitetura  da  rede,  mas  poderia  antes  ser definida por um fornecedor, e em seguida essa rede poderia interligar-se a outras.",0.33067262172698975
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,117,"5   Essa  dinâmica  é  bastante  presente  nas school  hackings ,  onde,  principalmente  nos  EUA,  jovens programadores montam  casas em  que passam a trabalhar em softwares e compartilham conhecimentos de programação. Esse fenômeno passa a ganhar mais força com a crise universitária estadunidense, onde estudantes endividados com a universidade visualizam o school hacking como um caminho mais efetivo e imediato para a inserção no mercado de trabalho (Rossi, 2014).",0.31234657764434814
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,119,①,0.06031160429120064
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,121,"Para efetivar essa arquitetura aberta, sua execução deriva do desenvolvimento do hipertexto,  que  usa  o  sistema  de links .  Segundo  Martino (2015,  p.  87),  o  uso  dos hyperlinks representa uma  conexão entre informações que não é organizada hierarquicamente e de modo linear. Assim, um texto em hipertexto não tem margem nem define, em sua materialidade, uma totalidade, como fazem o livro e o jornal. Os limites da compreensão de uma informação são dados pela curiosidade do leitor. A forma  de  comunicação  também  sofre  um  impacto  econômico  significativo,  pois  os usuários, ao invés de comprar, doam as informações e bens para, no final, criar uma lógica pública. Como define Barbrook (2003, p. 152),",0.35359013080596924
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,123,"A constituição desse ethos (o compartilhamento de informações) tem amparo tecnológico na arquitetura das redes com base em protocolos iguais,  que  pressupõem  que  múltiplas  cópias  dos  documentos possam ser facilmente capturadas em toda rede. Cada um recebe da rede  muito  mais  do  que  fornece  ao  outro.  E,  acima  de  tudo,  doa tempo e ideias, e produz relação social.",0.3333432376384735
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,125,"Um exemplo da formação desse tipo  de  troca  de  dados  é  o  surgimento  e  a popularização do email. Criado em 1972 (Martino, 2015, p. 90), ele muda também a lógica de consumo das informações: instantâneo e assíncrono, o email dota o indivíduo da capacidade de enviar a mesma mensagem para várias pessoas, e também permite a criação de uma comunidade de interesses em comum, sem que a proximidade espacial e/ou a social fossem determinantes para reunir pessoas.",0.2550262212753296
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,127,"Malini  (2003,  p.  161)  tece  a  ideia  de  economia  da  doação,  onde  a  relação cooperativa de compartilhamento de arquivos gera uma comunidade que arquiva tudo e  todos  para  que  todos  acessem  tudo  e  todos.  Sem  essa  relação  cooperativa  entre usuários  não  há  produção  de  informação.  Por  se  caracterizar  pela  coletividade,  a produção de informação, segundo o autor, traz à tona o debate sobre a desinformação e sobre o direito à informação. Porém, esse debate não passa pela esfera jurídica, e sim pelo  que  é  público  no  interior  de  cada  informação.  A  partir  disso,  conclui-se  que  o debate por meio da troca de informações entre usuários da rede se torna um debate sobre o espaço público.",0.303450345993042
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,129,"Neste primeiro momento,  havia um  certo otimismo  nos  movimentos posteriores à troca de mensagens por email. No início dos anos 2000, o termo peer-topeer (P2P) era utilizado para referenciar práticas em que os usuários de softwares de compartilhamento de dados piratas como o Napster 6  se comunicavam entre si sem a intermediação de nenhum agente (Malini, 2003, p. 163). Essa 'igualdade' de funções que diferenciava os usuários nas trocas P2P propiciou a ideia de que o debate público teria uma arena nova a ser regulada.",0.31173065304756165
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,131,"Se  não  há  intermediários,  como  pode  haver  um  controle  para  a  grande quantidade de dados veiculados entre usuários? Barbrook (2003) apresenta o conceito de  'ideologia  californiana'  para  demonstrar  como  as  dinâmicas  dos  primeiros programadores pautaram as novas formas de comunicação e informação. Segundo tal ideologia, os governos nacionais são incapazes de controlar o sistema de comunicações por computador. Em vez disso, indivíduos e empresas competirão para fornecer bens e serviços nos mercados online . Assim, o autor sugere que tal ideologia retoma o debate",0.3892178535461426
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,133,"6   Rede social do início dos anos 2000 que tinha como principal veiculação de informações a troca de arquivos mp3, considerada um grande marco da pirataria online .",0.17459163069725037
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,135,7,0.10842641443014145
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,137,①,0.06031160429120064
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,139,"do liberalismo  pós-revolução  norte-americana  (Barbrook,  2003,  p.  134):  um  mercado virtual de intercâmbio de mercadorias de informação, onde as instituições públicas só serão  necessárias  para  prover  'regras  do  jogo'  mínimas,  para  as  pessoas  poderem comercializar informação umas com as outras.",0.32530906796455383
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,141,"Essa retomada do liberalismo clássico é o mote do desenvolvimento posterior das regulações comerciais da internet e, por conseguinte, das redes sociais digitais. Com o advento das empresas .com no segmento P2P 7 , este método dá lugar ao formato payper-use ao invés da liberdade irrestrita de informações. Afinal, 'à diferença da censura política, os liberais acreditavam que a censura econômica era essencial para a liberdade da mídia' (Barbrook, 2003, p. 135). Esse mote estabelece que a propriedade intelectual na internet seria baseada nessa interpretação da Primeira Emenda da Constituição dos EUA, a liberdade irrestrita de expressão. Com a organização comercial tomando conta das  relações  'horizontais'  e  'públicas',  tem -se,  portanto,  um  resultado  híbrido  da noção de informação (Barbrook, 2003, p. 139) nas redes: como dádiva, ao estabelecer a diluição  de  fronteiras  e  ampla  participação  pela  economia  de  doação,  e  como mercadoria, ao estabelecer a lógica de que é a oferta que determina a demanda por informação (Barreto, 1995, p. 3).",0.32021409273147583
O que é autonomia e opacidade algorítmica?,twitter_algoritmo.md,143,"Com essa concepção, conseguimos visualizar qual o argumento aqui proposto: que  a  internet  e  as  formas  de  comunicação  presentes  nessa  rede  dialogam  com  as premissas de liberdade comercial, borrando a ideia de liberdade de expressão.Tem-se, portanto, a ideia de que o espaço da internet remete ao debate público, mas possui como dinâmica  primordial  de  seu  funcionamento  a  regulação  comercial,  advinda  das próprias empresas, juntamente com um papel reduzido do Estado. A ética hacker , aliada ao rearranjo capitalista para as grandes plataformas digitais, estabelece em seu layout o favorecimento do que chamamos ultraliberalismo: a liberdade de expressão existindo como mercadoria de mídia estabelece a noção de participação dos usuários, deslocando o poder do Estado e concentrando as decisões das empresas de plataformas digitais nos algoritmos de veiculação de informações.",0.38715702295303345
